Date,Home Team,Away Team,Period,Time Remaining,Strength,Game Winning Goal,Empty Net
2013-01-20,Tampa Bay Lightning,Washington Capitals,3,15:03,Power Play,True,False
2013-01-20,Tampa Bay Lightning,Washington Capitals,3,06:36,Even,False,False
2013-01-20,Tampa Bay Lightning,Washington Capitals,3,03:18,Power Play,False,False
2013-01-20,Florida Panthers,Carolina Hurricanes,1,16:23,Even,False,False
2013-01-20,Florida Panthers,Carolina Hurricanes,1,13:18,Power Play,True,False
2013-01-20,Florida Panthers,Carolina Hurricanes,1,03:13,Power Play,False,False
2013-01-20,Florida Panthers,Carolina Hurricanes,1,02:33,Power Play,False,False
2013-01-20,Florida Panthers,Carolina Hurricanes,2,16:25,Even,False,False
2013-01-20,Florida Panthers,Carolina Hurricanes,2,10:45,Even,False,False
2013-01-20,St. Louis Blues,Detroit Red Wings,1,13:24,Even,True,False
2013-01-20,St. Louis Blues,Detroit Red Wings,1,05:16,Power Play,False,False
2013-01-20,St. Louis Blues,Detroit Red Wings,2,19:31,Power Play,False,False
2013-01-20,St. Louis Blues,Detroit Red Wings,2,03:51,Short Handed,False,False
2013-01-20,St. Louis Blues,Detroit Red Wings,3,18:45,Power Play,False,False
2013-01-20,St. Louis Blues,Detroit Red Wings,3,05:25,Power Play,False,False
2013-01-20,Nashville Predators,Columbus Blue Jackets,1,19:21,Even,False,False
2013-01-20,Nashville Predators,Columbus Blue Jackets,1,03:52,Power Play,False,False
2013-01-20,Nashville Predators,Columbus Blue Jackets,1,02:05,Power Play,False,False
2013-01-20,Nashville Predators,Columbus Blue Jackets,2,07:55,Even,False,False
2013-01-20,Dallas Stars,Phoenix Coyotes,1,01:24,Even,False,False
2013-01-20,Dallas Stars,Phoenix Coyotes,2,10:56,Power Play,False,False
2013-01-20,Dallas Stars,Phoenix Coyotes,2,08:07,Power Play,False,False
2013-01-20,Dallas Stars,Phoenix Coyotes,2,01:22,Power Play,False,False
2013-01-20,Dallas Stars,Phoenix Coyotes,3,19:29,Power Play,False,False
2013-01-20,Dallas Stars,Phoenix Coyotes,3,16:30,Even,False,False
2013-01-20,Dallas Stars,Phoenix Coyotes,3,06:55,Even,True,False
2013-01-20,Minnesota Wild,Colorado Avalanche,1,17:53,Even,False,False
2013-01-20,Minnesota Wild,Colorado Avalanche,2,16:34,Power Play,False,False
2013-01-20,Minnesota Wild,Colorado Avalanche,2,15:41,Even,False,False
2013-01-20,Minnesota Wild,Colorado Avalanche,2,09:59,Power Play,True,False
2013-01-20,Minnesota Wild,Colorado Avalanche,3,14:51,Even,False,False
2013-01-20,Minnesota Wild,Colorado Avalanche,3,01:35,Even,False,False
2013-01-20,Vancouver Canucks,Anaheim Ducks,1,13:29,Even,False,False
2013-01-20,Vancouver Canucks,Anaheim Ducks,1,10:07,Even,False,False
2013-01-20,Vancouver Canucks,Anaheim Ducks,1,08:37,Power Play,False,False
2013-01-20,Vancouver Canucks,Anaheim Ducks,1,04:37,Power Play,False,False
2013-01-20,Vancouver Canucks,Anaheim Ducks,2,16:27,Even,False,False
2013-01-20,Vancouver Canucks,Anaheim Ducks,2,13:34,Power Play,True,False
2013-01-20,Vancouver Canucks,Anaheim Ducks,2,13:23,Even,False,False
2013-01-20,Vancouver Canucks,Anaheim Ducks,2,00:14,Power Play,False,False
2013-01-20,Vancouver Canucks,Anaheim Ducks,3,10:33,Power Play,False,False
2013-01-20,Vancouver Canucks,Anaheim Ducks,3,10:11,Even,False,False
2013-01-20,Buffalo Sabres,Philadelphia Flyers,1,08:53,Power Play,False,False
2013-01-20,Buffalo Sabres,Philadelphia Flyers,2,17:37,Even,False,False
2013-01-20,Buffalo Sabres,Philadelphia Flyers,2,15:03,Power Play,False,False
2013-01-20,Buffalo Sabres,Philadelphia Flyers,2,04:06,Power Play,False,False
2013-01-20,Buffalo Sabres,Philadelphia Flyers,3,05:03,Power Play,True,False
2013-01-20,Buffalo Sabres,Philadelphia Flyers,3,03:47,Even,False,False
2013-01-20,Buffalo Sabres,Philadelphia Flyers,3,00:48,Even,False,True
2013-01-21,New York Rangers,Pittsburgh Penguins,1,18:12,Power Play,False,False
2013-01-21,New York Rangers,Pittsburgh Penguins,1,10:05,Power Play,False,False
2013-01-21,New York Rangers,Pittsburgh Penguins,1,04:55,Even,False,False
2013-01-21,New York Rangers,Pittsburgh Penguins,1,01:10,Even,False,False
2013-01-21,New York Rangers,Pittsburgh Penguins,2,10:49,Power Play,True,False
2013-01-21,New York Rangers,Pittsburgh Penguins,3,14:54,Even,False,False
2013-01-21,New York Rangers,Pittsburgh Penguins,3,13:56,Even,False,False
2013-01-21,New York Rangers,Pittsburgh Penguins,3,05:15,Short Handed,False,False
2013-01-21,New York Rangers,Pittsburgh Penguins,3,01:52,Even,False,True
2013-01-20,Calgary Flames,San Jose Sharks,1,07:39,Power Play,False,False
2013-01-20,Calgary Flames,San Jose Sharks,2,06:08,Power Play,False,False
2013-01-20,Calgary Flames,San Jose Sharks,2,04:55,Even,True,False
2013-01-20,Calgary Flames,San Jose Sharks,2,01:50,Even,False,False
2013-01-20,Calgary Flames,San Jose Sharks,3,01:00,Power Play,False,False
2013-01-21,Minnesota Wild,Dallas Stars,1,11:49,Even,True,False
2013-01-21,Vancouver Canucks,Edmonton Oilers,1,09:02,Even,False,False
2013-01-21,Vancouver Canucks,Edmonton Oilers,2,05:42,Even,False,False
2013-01-21,Vancouver Canucks,Edmonton Oilers,2,00:04,Even,False,False
2013-01-21,Vancouver Canucks,Edmonton Oilers,3,05:55,Power Play,False,False
2013-01-21,Phoenix Coyotes,Chicago Blackhawks,1,16:21,Even,False,False
2013-01-21,Phoenix Coyotes,Chicago Blackhawks,1,09:03,Power Play,False,False
2013-01-21,Phoenix Coyotes,Chicago Blackhawks,2,14:12,Even,False,False
2013-01-21,Phoenix Coyotes,Chicago Blackhawks,2,10:10,Even,False,False
2013-01-21,Phoenix Coyotes,Chicago Blackhawks,2,02:26,Even,False,False
2013-01-21,Phoenix Coyotes,Chicago Blackhawks,2,01:36,Even,False,False
2013-01-21,Phoenix Coyotes,Chicago Blackhawks,3,19:46,Even,True,False
2013-01-21,Phoenix Coyotes,Chicago Blackhawks,3,15:22,Even,False,False
2013-01-21,Phoenix Coyotes,Chicago Blackhawks,3,14:32,Even,False,False
2013-01-21,Phoenix Coyotes,Chicago Blackhawks,3,14:10,Even,False,False
2013-01-21,Boston Bruins,Winnipeg Jets,1,18:02,Even,False,False
2013-01-21,Boston Bruins,Winnipeg Jets,1,05:48,Even,False,False
2013-01-21,New York Islanders,Tampa Bay Lightning,2,13:10,Power Play,False,False
2013-01-21,New York Islanders,Tampa Bay Lightning,2,03:37,Even,False,False
2013-01-21,New York Islanders,Tampa Bay Lightning,2,02:25,Even,False,False
2013-01-21,New York Islanders,Tampa Bay Lightning,3,18:29,Even,True,False
2013-01-21,New York Islanders,Tampa Bay Lightning,3,17:38,Even,False,False
2013-01-21,New York Islanders,Tampa Bay Lightning,3,12:34,Even,False,False
2013-01-21,New York Islanders,Tampa Bay Lightning,3,12:00,Even,False,False
2013-01-21,Nashville Predators,St. Louis Blues,1,10:50,Even,False,False
2013-01-21,Nashville Predators,St. Louis Blues,1,09:32,Even,False,False
2013-01-21,Nashville Predators,St. Louis Blues,1,04:56,Power Play,False,False
2013-01-21,Nashville Predators,St. Louis Blues,1,02:47,Power Play,False,False
2013-01-21,Nashville Predators,St. Louis Blues,2,07:07,Power Play,False,False
2013-01-21,Nashville Predators,St. Louis Blues,3,07:50,Even,False,False
2013-01-22,Toronto Maple Leafs,Buffalo Sabres,1,11:09,Even,False,False
2013-01-22,Toronto Maple Leafs,Buffalo Sabres,2,15:09,Even,True,False
2013-01-22,Toronto Maple Leafs,Buffalo Sabres,3,01:42,Power Play,False,False
2013-01-22,Ottawa Senators,Florida Panthers,1,09:18,Power Play,True,False
2013-01-22,Ottawa Senators,Florida Panthers,2,07:53,Even,False,False
2013-01-22,Ottawa Senators,Florida Panthers,3,02:25,Even,False,False
2013-01-22,Ottawa Senators,Florida Panthers,3,01:04,Even,False,False
2013-01-22,Columbus Blue Jackets,Detroit Red Wings,2,18:50,Even,False,False
2013-01-22,Columbus Blue Jackets,Detroit Red Wings,2,05:54,Even,False,False
2013-01-22,Columbus Blue Jackets,Detroit Red Wings,2,04:40,Even,False,False
2013-01-22,Columbus Blue Jackets,Detroit Red Wings,3,16:36,Power Play,False,False
2013-01-22,Columbus Blue Jackets,Detroit Red Wings,3,11:17,Power Play,False,False
2013-01-22,Columbus Blue Jackets,Detroit Red Wings,3,06:04,Even,False,False
2013-01-22,Calgary Flames,Anaheim Ducks,1,18:54,Even,False,False
2013-01-22,Calgary Flames,Anaheim Ducks,1,12:37,Even,False,False
2013-01-22,Calgary Flames,Anaheim Ducks,1,09:07,Even,False,False
2013-01-22,Calgary Flames,Anaheim Ducks,1,03:06,Power Play,False,False
2013-01-22,Calgary Flames,Anaheim Ducks,1,00:26,Even,False,False
2013-01-22,Calgary Flames,Anaheim Ducks,2,18:47,Power Play,False,False
2013-01-22,Calgary Flames,Anaheim Ducks,3,15:58,Even,False,False
2013-01-22,Calgary Flames,Anaheim Ducks,3,08:45,Even,True,False
2013-01-22,Calgary Flames,Anaheim Ducks,3,05:56,Even,False,False
2013-01-23,Washington Capitals,Winnipeg Jets,1,09:58,Even,False,False
2013-01-23,Washington Capitals,Winnipeg Jets,1,07:26,Power Play,False,False
2013-01-23,Washington Capitals,Winnipeg Jets,1,03:34,Power Play,False,False
2013-01-23,Washington Capitals,Winnipeg Jets,2,05:28,Even,True,False
2013-01-23,Washington Capitals,Winnipeg Jets,2,00:46,Even,False,False
2013-01-23,Washington Capitals,Winnipeg Jets,3,01:16,Power Play,False,False
2013-01-23,Carolina Hurricanes,Tampa Bay Lightning,1,14:42,Even,False,False
2013-01-23,Carolina Hurricanes,Tampa Bay Lightning,1,08:24,Even,True,False
2013-01-23,Carolina Hurricanes,Tampa Bay Lightning,2,16:25,Power Play,False,False
2013-01-23,Carolina Hurricanes,Tampa Bay Lightning,3,18:23,Even,False,False
2013-01-23,Carolina Hurricanes,Tampa Bay Lightning,3,10:03,Power Play,False,False
2013-01-23,Montréal Canadiens,Florida Panthers,1,16:34,Even,False,False
2013-01-23,Montréal Canadiens,Florida Panthers,1,06:36,Power Play,True,False
2013-01-23,Montréal Canadiens,Florida Panthers,2,15:27,Power Play,False,False
2013-01-23,Montréal Canadiens,Florida Panthers,2,11:29,Power Play,False,False
2013-01-23,Montréal Canadiens,Florida Panthers,2,05:35,Even,False,False
2013-01-23,New Jersey Devils,Philadelphia Flyers,1,18:53,Even,True,False
2013-01-23,New Jersey Devils,Philadelphia Flyers,1,00:25,Power Play,False,False
2013-01-23,New Jersey Devils,Philadelphia Flyers,2,17:16,Short Handed,False,False
2013-01-23,Detroit Red Wings,Dallas Stars,1,14:19,Even,False,False
2013-01-23,Detroit Red Wings,Dallas Stars,3,14:26,Even,True,False
2013-01-23,Detroit Red Wings,Dallas Stars,3,00:04,Even,False,False
2013-01-23,Minnesota Wild,Nashville Predators,1,13:58,Even,False,False
2013-01-23,Minnesota Wild,Nashville Predators,1,03:29,Even,False,False
2013-01-23,Minnesota Wild,Nashville Predators,3,08:15,Even,True,False
2013-01-23,Minnesota Wild,Nashville Predators,3,00:17,Power Play,False,False
2013-01-23,Chicago Blackhawks,St. Louis Blues,1,12:40,Even,False,False
2013-01-23,Chicago Blackhawks,St. Louis Blues,2,11:39,Power Play,False,False
2013-01-23,Chicago Blackhawks,St. Louis Blues,3,17:51,Even,True,False
2013-01-23,Chicago Blackhawks,St. Louis Blues,3,15:20,Even,False,False
2013-01-23,Chicago Blackhawks,St. Louis Blues,3,05:07,Power Play,False,False
2013-01-23,Colorado Avalanche,Los Angeles Kings,1,04:08,Even,False,False
2013-01-23,Colorado Avalanche,Los Angeles Kings,3,19:00,Even,False,False
2013-01-23,Colorado Avalanche,Los Angeles Kings,3,17:25,Power Play,True,False
2013-01-23,Colorado Avalanche,Los Angeles Kings,3,11:44,Even,False,False
2013-01-23,Edmonton Oilers,San Jose Sharks,1,16:43,Power Play,False,False
2013-01-23,Edmonton Oilers,San Jose Sharks,1,15:30,Power Play,False,False
2013-01-23,Edmonton Oilers,San Jose Sharks,1,11:35,Power Play,False,False
2013-01-23,Edmonton Oilers,San Jose Sharks,1,09:58,Even,False,False
2013-01-23,Edmonton Oilers,San Jose Sharks,1,08:53,Power Play,True,False
2013-01-23,Edmonton Oilers,San Jose Sharks,1,01:51,Even,False,False
2013-01-23,Edmonton Oilers,San Jose Sharks,1,00:40,Even,False,False
2013-01-23,Edmonton Oilers,San Jose Sharks,2,05:35,Power Play,False,False
2013-01-23,Edmonton Oilers,San Jose Sharks,3,16:26,Even,False,False
2013-01-24,Pittsburgh Penguins,Toronto Maple Leafs,1,01:09,Power Play,False,False
2013-01-24,Pittsburgh Penguins,Toronto Maple Leafs,2,16:51,Even,False,False
2013-01-24,Pittsburgh Penguins,Toronto Maple Leafs,2,13:12,Even,False,False
2013-01-24,Pittsburgh Penguins,Toronto Maple Leafs,2,12:43,Even,False,False
2013-01-24,Pittsburgh Penguins,Toronto Maple Leafs,2,05:26,Even,True,False
2013-01-24,Pittsburgh Penguins,Toronto Maple Leafs,3,14:42,Even,False,False
2013-01-24,Pittsburgh Penguins,Toronto Maple Leafs,3,01:01,Power Play,False,False
2013-01-24,New York Rangers,Boston Bruins,1,15:24,Even,False,False
2013-01-24,New York Rangers,Boston Bruins,1,13:11,Even,False,False
2013-01-24,New York Rangers,Boston Bruins,2,18:55,Power Play,False,False
2013-01-24,New York Rangers,Boston Bruins,2,07:36,Even,False,False
2013-01-24,New York Rangers,Boston Bruins,2,06:50,Even,False,False
2013-01-24,New York Rangers,Boston Bruins,3,04:23,Even,False,False
2013-01-24,New York Rangers,Boston Bruins,4,04:33,Even,True,False
2013-01-24,Vancouver Canucks,Calgary Flames,2,13:40,Even,False,False
2013-01-24,Vancouver Canucks,Calgary Flames,2,11:40,Power Play,False,False
2013-01-24,Vancouver Canucks,Calgary Flames,2,09:00,Even,False,False
2013-01-24,Vancouver Canucks,Calgary Flames,2,03:57,Power Play,False,False
2013-01-24,Phoenix Coyotes,Columbus Blue Jackets,2,14:30,Even,False,False
2013-01-24,Phoenix Coyotes,Columbus Blue Jackets,2,12:33,Even,False,False
2013-01-24,Phoenix Coyotes,Columbus Blue Jackets,2,04:38,Even,True,False
2013-01-24,Phoenix Coyotes,Columbus Blue Jackets,3,15:39,Power Play,False,False
2013-01-24,Phoenix Coyotes,Columbus Blue Jackets,3,09:59,Even,False,False
2013-01-24,Phoenix Coyotes,Columbus Blue Jackets,3,04:58,Even,False,False
2013-01-25,Toronto Maple Leafs,New York Islanders,1,17:48,Even,False,False
2013-01-25,Toronto Maple Leafs,New York Islanders,1,11:21,Even,False,False
2013-01-25,Toronto Maple Leafs,New York Islanders,1,10:16,Even,False,False
2013-01-25,Toronto Maple Leafs,New York Islanders,1,07:12,Even,False,False
2013-01-25,Toronto Maple Leafs,New York Islanders,2,08:16,Power Play,False,False
2013-01-25,Toronto Maple Leafs,New York Islanders,2,06:50,Even,False,False
2013-01-25,Toronto Maple Leafs,New York Islanders,3,16:37,Even,False,False
2013-01-25,Toronto Maple Leafs,New York Islanders,3,15:25,Even,True,False
2013-01-25,Toronto Maple Leafs,New York Islanders,3,08:40,Even,False,False
2013-01-25,Toronto Maple Leafs,New York Islanders,3,02:13,Even,False,False
2013-01-25,Toronto Maple Leafs,New York Islanders,3,01:10,Short Handed,False,True
2013-01-25,Philadelphia Flyers,New York Rangers,2,08:07,Even,False,False
2013-01-25,Philadelphia Flyers,New York Rangers,2,04:06,Power Play,True,False
2013-01-25,Philadelphia Flyers,New York Rangers,3,18:21,Power Play,False,False
2013-01-25,Washington Capitals,Montréal Canadiens,2,16:13,Power Play,False,False
2013-01-25,Washington Capitals,Montréal Canadiens,2,15:16,Power Play,True,False
2013-01-25,Washington Capitals,Montréal Canadiens,2,11:21,Even,False,False
2013-01-25,Washington Capitals,Montréal Canadiens,2,01:39,Even,False,False
2013-01-25,Washington Capitals,Montréal Canadiens,3,02:23,Even,False,False
2013-01-25,Carolina Hurricanes,Buffalo Sabres,2,18:58,Even,False,False
2013-01-25,Carolina Hurricanes,Buffalo Sabres,2,15:54,Short Handed,False,False
2013-01-25,Carolina Hurricanes,Buffalo Sabres,2,11:10,Even,False,False
2013-01-25,Carolina Hurricanes,Buffalo Sabres,2,09:21,Even,False,False
2013-01-25,Carolina Hurricanes,Buffalo Sabres,2,06:04,Even,False,False
2013-01-25,Carolina Hurricanes,Buffalo Sabres,2,05:55,Even,True,False
2013-01-25,Carolina Hurricanes,Buffalo Sabres,3,13:54,Even,False,False
2013-01-25,Carolina Hurricanes,Buffalo Sabres,3,10:34,Even,False,False
2013-01-25,Carolina Hurricanes,Buffalo Sabres,3,01:28,Even,False,True
2013-01-25,Florida Panthers,Ottawa Senators,1,11:36,Power Play,False,False
2013-01-25,Florida Panthers,Ottawa Senators,1,08:35,Power Play,False,False
2013-01-25,Florida Panthers,Ottawa Senators,2,11:32,Even,True,False
2013-01-25,Florida Panthers,Ottawa Senators,3,01:16,Even,False,True
2013-01-25,St. Louis Blues,Nashville Predators,1,07:01,Power Play,True,False
2013-01-25,St. Louis Blues,Nashville Predators,2,10:34,Even,False,False
2013-01-25,St. Louis Blues,Nashville Predators,3,10:56,Even,False,False
2013-01-25,Dallas Stars,Chicago Blackhawks,1,00:01,Short Handed,False,False
2013-01-25,Dallas Stars,Chicago Blackhawks,2,09:19,Even,False,False
2013-01-25,Dallas Stars,Chicago Blackhawks,2,04:03,Power Play,False,False
2013-01-25,Dallas Stars,Chicago Blackhawks,3,05:53,Power Play,False,False
2013-01-25,Dallas Stars,Chicago Blackhawks,4,03:19,Power Play,True,False
2013-01-25,Colorado Avalanche,Columbus Blue Jackets,1,19:09,Even,True,False
2013-01-25,Colorado Avalanche,Columbus Blue Jackets,1,07:35,Even,False,False
2013-01-25,Colorado Avalanche,Columbus Blue Jackets,3,15:22,Even,False,False
2013-01-25,Colorado Avalanche,Columbus Blue Jackets,3,01:18,Even,False,False
2013-01-25,Edmonton Oilers,Los Angeles Kings,2,06:34,Even,False,False
2013-01-25,Edmonton Oilers,Los Angeles Kings,3,00:05,Even,False,False
2013-01-25,Edmonton Oilers,Los Angeles Kings,4,01:59,Power Play,True,False
2013-01-25,San Jose Sharks,Phoenix Coyotes,1,00:38,Power Play,False,False
2013-01-25,San Jose Sharks,Phoenix Coyotes,2,12:49,Power Play,False,False
2013-01-25,San Jose Sharks,Phoenix Coyotes,3,14:59,Power Play,False,False
2013-01-25,San Jose Sharks,Phoenix Coyotes,3,12:32,Even,False,False
2013-01-25,San Jose Sharks,Phoenix Coyotes,3,10:45,Even,False,False
2013-01-25,San Jose Sharks,Phoenix Coyotes,3,06:54,Even,False,False
2013-01-25,San Jose Sharks,Phoenix Coyotes,3,01:53,Even,True,False
2013-01-25,San Jose Sharks,Phoenix Coyotes,3,00:03,Power Play,False,True
2013-01-26,Boston Bruins,New York Islanders,1,15:08,Even,False,False
2013-01-26,Boston Bruins,New York Islanders,1,08:47,Even,False,False
2013-01-26,Boston Bruins,New York Islanders,2,10:10,Even,False,False
2013-01-26,Boston Bruins,New York Islanders,2,06:18,Even,False,False
2013-01-26,Boston Bruins,New York Islanders,3,12:53,Even,True,False
2013-01-26,Boston Bruins,New York Islanders,3,06:27,Even,False,False
2013-01-26,Buffalo Sabres,Carolina Hurricanes,3,18:04,Power Play,False,False
2013-01-26,Buffalo Sabres,Carolina Hurricanes,3,16:29,Power Play,False,False
2013-01-26,Buffalo Sabres,Carolina Hurricanes,3,04:50,Even,True,False
2013-01-26,Buffalo Sabres,Carolina Hurricanes,3,00:26,Power Play,False,True
2013-01-26,New Jersey Devils,Washington Capitals,1,06:05,Even,False,False
2013-01-26,New Jersey Devils,Washington Capitals,2,01:00,Power Play,False,False
2013-01-26,New Jersey Devils,Washington Capitals,3,07:15,Power Play,False,False
2013-01-26,New Jersey Devils,Washington Capitals,3,02:56,Even,False,False
2013-01-26,New Jersey Devils,Washington Capitals,4,00:21,Even,True,False
2013-01-26,Tampa Bay Lightning,Ottawa Senators,1,18:51,Power Play,False,False
2013-01-26,Tampa Bay Lightning,Ottawa Senators,2,15:49,Even,False,False
2013-01-26,Tampa Bay Lightning,Ottawa Senators,2,05:30,Power Play,False,False
2013-01-26,Tampa Bay Lightning,Ottawa Senators,2,05:15,Even,False,False
2013-01-26,Tampa Bay Lightning,Ottawa Senators,2,05:00,Even,False,False
2013-01-26,Tampa Bay Lightning,Ottawa Senators,2,02:30,Even,False,False
2013-01-26,Tampa Bay Lightning,Ottawa Senators,2,01:50,Even,False,False
2013-01-26,Tampa Bay Lightning,Ottawa Senators,3,16:21,Even,False,False
2013-01-26,Tampa Bay Lightning,Ottawa Senators,3,07:02,Even,True,False
2013-01-26,Tampa Bay Lightning,Ottawa Senators,3,00:42,Even,False,True
2013-01-26,Winnipeg Jets,Pittsburgh Penguins,1,15:34,Even,False,False
2013-01-26,Winnipeg Jets,Pittsburgh Penguins,1,05:02,Even,False,False
2013-01-26,Winnipeg Jets,Pittsburgh Penguins,2,18:50,Even,False,False
2013-01-26,Winnipeg Jets,Pittsburgh Penguins,2,06:25,Power Play,False,False
2013-01-26,Winnipeg Jets,Pittsburgh Penguins,2,02:06,Even,True,False
2013-01-26,Winnipeg Jets,Pittsburgh Penguins,3,01:08,Even,False,True
2013-01-26,Anaheim Ducks,Vancouver Canucks,1,10:47,Power Play,True,False
2013-01-26,Anaheim Ducks,Vancouver Canucks,1,01:20,Power Play,False,False
2013-01-26,Anaheim Ducks,Vancouver Canucks,2,03:23,Even,False,False
2013-01-26,Anaheim Ducks,Vancouver Canucks,3,18:42,Power Play,False,False
2013-01-26,Anaheim Ducks,Vancouver Canucks,3,04:59,Even,False,False
2013-01-26,San Jose Sharks,Colorado Avalanche,1,03:51,Power Play,True,False
2013-01-26,San Jose Sharks,Colorado Avalanche,1,02:33,Power Play,False,False
2013-01-26,San Jose Sharks,Colorado Avalanche,2,17:28,Power Play,False,False
2013-01-26,San Jose Sharks,Colorado Avalanche,2,02:55,Even,False,False
2013-01-27,New York Rangers,Toronto Maple Leafs,1,13:35,Even,False,False
2013-01-27,New York Rangers,Toronto Maple Leafs,1,02:45,Power Play,False,False
2013-01-27,New York Rangers,Toronto Maple Leafs,2,14:17,Even,False,False
2013-01-27,New York Rangers,Toronto Maple Leafs,3,12:24,Even,False,False
2013-01-27,New York Rangers,Toronto Maple Leafs,3,07:03,Even,True,False
2013-01-27,New York Rangers,Toronto Maple Leafs,3,02:52,Even,False,False
2013-01-27,New York Rangers,Toronto Maple Leafs,3,01:15,Even,False,True
2013-01-27,Columbus Blue Jackets,Chicago Blackhawks,1,12:25,Even,False,False
2013-01-27,Columbus Blue Jackets,Chicago Blackhawks,1,02:06,Even,False,False
2013-01-27,Columbus Blue Jackets,Chicago Blackhawks,2,11:10,Even,False,False
2013-01-27,Columbus Blue Jackets,Chicago Blackhawks,3,13:25,Even,True,False
2013-01-27,Columbus Blue Jackets,Chicago Blackhawks,3,02:19,Even,False,False
2013-01-27,Florida Panthers,Philadelphia Flyers,1,16:50,Power Play,False,False
2013-01-27,Florida Panthers,Philadelphia Flyers,1,12:48,Even,True,False
2013-01-27,Florida Panthers,Philadelphia Flyers,1,01:09,Even,False,False
2013-01-27,Florida Panthers,Philadelphia Flyers,2,01:26,Even,False,False
2013-01-27,Florida Panthers,Philadelphia Flyers,2,00:50,Even,False,False
2013-01-27,Florida Panthers,Philadelphia Flyers,2,00:13,Even,False,False
2013-01-27,Florida Panthers,Philadelphia Flyers,3,19:06,Power Play,False,False
2013-01-27,Florida Panthers,Philadelphia Flyers,3,12:00,Even,False,False
2013-01-27,Dallas Stars,St. Louis Blues,1,14:29,Even,False,False
2013-01-27,Dallas Stars,St. Louis Blues,1,14:03,Even,False,False
2013-01-27,Dallas Stars,St. Louis Blues,1,07:20,Power Play,False,False
2013-01-27,Dallas Stars,St. Louis Blues,2,09:09,Even,False,False
2013-01-27,Dallas Stars,St. Louis Blues,2,03:28,Even,False,False
2013-01-27,Dallas Stars,St. Louis Blues,2,00:16,Even,True,False
2013-01-27,Dallas Stars,St. Louis Blues,3,17:36,Even,False,False
2013-01-27,Phoenix Coyotes,Los Angeles Kings,2,18:56,Even,False,False
2013-01-27,Phoenix Coyotes,Los Angeles Kings,2,16:03,Power Play,False,False
2013-01-27,Phoenix Coyotes,Los Angeles Kings,2,14:52,Even,False,False
2013-01-27,Phoenix Coyotes,Los Angeles Kings,2,08:27,Even,True,False
2013-01-27,Phoenix Coyotes,Los Angeles Kings,3,19:38,Even,False,False
2013-01-27,Phoenix Coyotes,Los Angeles Kings,3,11:25,Even,False,False
2013-01-27,Calgary Flames,Edmonton Oilers,1,14:44,Even,False,False
2013-01-27,Calgary Flames,Edmonton Oilers,1,05:35,Even,False,False
2013-01-27,Calgary Flames,Edmonton Oilers,1,00:41,Power Play,False,False
