Date,Home Team,Away Team,Period,Time Remaining,Strength,Game Winning Goal,Empty Net
2013-01-19,Philadelphia Flyers,Pittsburgh Penguins,1,15:20,Power Play,False,False
2013-01-19,Philadelphia Flyers,Pittsburgh Penguins,1,12:40,Even,True,False
2013-01-19,Philadelphia Flyers,Pittsburgh Penguins,2,19:37,Even,False,False
2013-01-19,Philadelphia Flyers,Pittsburgh Penguins,3,00:12,Power Play,False,True
2013-01-19,Winnipeg Jets,Ottawa Senators,1,14:00,Power Play,False,False
2013-01-19,Winnipeg Jets,Ottawa Senators,1,03:58,Even,False,False
2013-01-19,Winnipeg Jets,Ottawa Senators,2,02:48,Even,True,False
2013-01-19,Winnipeg Jets,Ottawa Senators,3,07:45,Power Play,False,False
2013-01-19,Winnipeg Jets,Ottawa Senators,3,02:10,Even,False,False
2013-01-19,Los Angeles Kings,Chicago Blackhawks,1,16:19,Power Play,False,False
2013-01-19,Los Angeles Kings,Chicago Blackhawks,1,07:03,Even,False,False
2013-01-19,Los Angeles Kings,Chicago Blackhawks,1,05:49,Even,True,False
2013-01-19,Los Angeles Kings,Chicago Blackhawks,2,18:44,Even,False,False
2013-01-19,Los Angeles Kings,Chicago Blackhawks,2,01:23,Even,False,False
2013-01-19,Los Angeles Kings,Chicago Blackhawks,3,10:40,Even,False,False
2013-01-19,Los Angeles Kings,Chicago Blackhawks,3,10:25,Even,False,False
2013-01-20,Boston Bruins,New York Rangers,1,05:46,Even,False,False
2013-01-20,Boston Bruins,New York Rangers,2,11:40,Even,True,False
2013-01-20,Boston Bruins,New York Rangers,2,07:10,Even,False,False
2013-01-20,Boston Bruins,New York Rangers,3,11:47,Even,False,False
2013-01-20,Montréal Canadiens,Toronto Maple Leafs,1,15:09,Power Play,False,False
2013-01-20,Montréal Canadiens,Toronto Maple Leafs,2,11:48,Power Play,True,False
2013-01-20,Montréal Canadiens,Toronto Maple Leafs,3,06:09,Power Play,False,False
2013-01-20,New York Islanders,New Jersey Devils,2,05:59,Even,False,False
2013-01-20,New York Islanders,New Jersey Devils,3,12:48,Power Play,False,False
2013-01-20,New York Islanders,New Jersey Devils,3,11:43,Even,True,False
2013-01-20,Tampa Bay Lightning,Washington Capitals,1,13:36,Even,False,False
2013-01-20,Tampa Bay Lightning,Washington Capitals,1,11:35,Power Play,False,False
2013-01-20,Tampa Bay Lightning,Washington Capitals,1,10:51,Even,False,False
2013-01-20,Tampa Bay Lightning,Washington Capitals,2,18:01,Even,False,False
2013-01-20,Tampa Bay Lightning,Washington Capitals,2,14:49,Power Play,False,False
2013-01-20,Tampa Bay Lightning,Washington Capitals,2,01:45,Even,False,False
