2016-10-12,Ottawa Senators,Toronto Maple Leafs,3,13:15,Even,False,False
2016-10-12,Ottawa Senators,Toronto Maple Leafs,4,04:23,Even,True,False
2016-10-13,Chicago Blackhawks,St. Louis Blues,1,15:22,Power Play,False,False
2016-10-13,Chicago Blackhawks,St. Louis Blues,2,15:08,Power Play,False,False
2016-10-13,Chicago Blackhawks,St. Louis Blues,2,06:03,Even,False,False
2016-10-13,Chicago Blackhawks,St. Louis Blues,2,00:32,Power Play,False,False
2016-10-13,Chicago Blackhawks,St. Louis Blues,3,19:05,Power Play,True,False
2016-10-13,Chicago Blackhawks,St. Louis Blues,3,01:06,Even,False,True
2016-10-13,Chicago Blackhawks,St. Louis Blues,3,00:19,Even,False,True
2017-10-04,Winnipeg Jets,Toronto Maple Leafs,1,04:15,Power Play,False,False
2017-10-04,Winnipeg Jets,Toronto Maple Leafs,1,02:20,Even,False,False
2017-10-04,Winnipeg Jets,Toronto Maple Leafs,1,01:37,Even,True,False
2017-10-04,Winnipeg Jets,Toronto Maple Leafs,2,11:28,Even,False,False
2017-10-04,Winnipeg Jets,Toronto Maple Leafs,3,19:24,Even,False,False
2017-10-04,Winnipeg Jets,Toronto Maple Leafs,3,11:53,Power Play,False,False
2017-10-04,Winnipeg Jets,Toronto Maple Leafs,3,08:29,Even,False,False
2017-10-04,Winnipeg Jets,Toronto Maple Leafs,3,08:03,Even,False,False
2017-10-04,Winnipeg Jets,Toronto Maple Leafs,3,07:03,Even,False,False
2017-10-05,Pittsburgh Penguins,St. Louis Blues,1,13:23,Even,False,False
2017-10-05,Pittsburgh Penguins,St. Louis Blues,1,11:29,Even,False,False
2017-10-05,Pittsburgh Penguins,St. Louis Blues,1,02:15,Power Play,False,False
2017-10-05,Pittsburgh Penguins,St. Louis Blues,2,07:23,Even,False,False
2017-10-05,Pittsburgh Penguins,St. Louis Blues,2,04:23,Even,False,False
2017-10-05,Pittsburgh Penguins,St. Louis Blues,3,16:22,Even,False,False
2017-10-05,Pittsburgh Penguins,St. Louis Blues,3,06:14,Power Play,False,False
2017-10-05,Pittsburgh Penguins,St. Louis Blues,3,05:20,Even,False,False
2017-10-05,Pittsburgh Penguins,St. Louis Blues,4,03:45,Even,True,False
2018-10-03,Toronto Maple Leafs,Montréal Canadiens,1,10:26,Even,False,False
2018-10-03,Toronto Maple Leafs,Montréal Canadiens,1,07:03,Power Play,False,False
2018-10-03,Toronto Maple Leafs,Montréal Canadiens,2,01:53,Even,False,False
2018-10-03,Toronto Maple Leafs,Montréal Canadiens,2,00:14,Power Play,False,False
2018-10-03,Toronto Maple Leafs,Montréal Canadiens,4,03:59,Even,True,False
2018-10-03,Washington Capitals,Boston Bruins,1,19:36,Even,True,False
2018-10-03,Washington Capitals,Boston Bruins,1,18:13,Power Play,False,False
2018-10-03,Washington Capitals,Boston Bruins,2,15:43,Power Play,False,False
2018-10-03,Washington Capitals,Boston Bruins,2,13:47,Even,False,False
2018-10-03,Washington Capitals,Boston Bruins,2,12:32,Power Play,False,False
2018-10-03,Washington Capitals,Boston Bruins,2,04:15,Power Play,False,False
2018-10-03,Washington Capitals,Boston Bruins,3,09:08,Even,False,False
2019-10-02,Toronto Maple Leafs,Ottawa Senators,1,19:35,Even,False,False
2019-10-02,Toronto Maple Leafs,Ottawa Senators,2,17:40,Even,False,False
2019-10-02,Toronto Maple Leafs,Ottawa Senators,2,15:18,Even,False,False
2019-10-02,Toronto Maple Leafs,Ottawa Senators,2,14:09,Even,False,False
2019-10-02,Toronto Maple Leafs,Ottawa Senators,2,11:58,Even,False,False
2019-10-02,Toronto Maple Leafs,Ottawa Senators,2,05:10,Power Play,True,False
2019-10-02,Toronto Maple Leafs,Ottawa Senators,3,10:17,Even,False,False
2019-10-02,Toronto Maple Leafs,Ottawa Senators,3,02:15,Even,False,False
2019-10-03,St. Louis Blues,Washington Capitals,1,19:07,Even,False,False
2019-10-03,St. Louis Blues,Washington Capitals,1,12:05,Power Play,False,False
2019-10-03,St. Louis Blues,Washington Capitals,1,04:23,Even,False,False
2019-10-03,St. Louis Blues,Washington Capitals,2,07:32,Power Play,False,False
2019-10-03,St. Louis Blues,Washington Capitals,4,02:09,Even,True,False
